"";"Start";"End";"Pitch";"Velocity";"Instrument"
272;"40.000";"1.000";"64.000";"0.992";"Horn in E^b (2)"
273;"40.000";"1.000";"67.000";"0.992";"Trumpet in C"
274;"40.000";"1.000";"71.000";"0.992";"Oboe"
275;"40.000";"1.000";"71.000";"0.992";"Violin I"
276;"40.000";"1.000";"71.000";"0.992";"Violin II"
277;"40.000";"1.000";"76.000";"0.992";"Horn in E^b (2)"
278;"40.000";"1.000";"79.000";"0.992";"Oboe"
279;"40.000";"2.000";"79.000";"0.992";"Violin I"
280;"40.000";"1.000";"83.000";"0.992";"Flute (2)"
281;"40.000";"1.000";"91.000";"0.992";"Flute (2)"
